year,season_highlights,world_series,all_star_game
1901,"On April 28th, Cleveland Indians rookie pitcher Charles Baker surrendered an American League record twenty-three singles in a 13-1 loss to the Chicago White Sox.",,
1902,"The Milwaukee Brewers moved before the 1902 season started and became the St. Louis Browns, where they would play until 1953. In 1954, the franchise moved and became the modern-day Baltimore Orioles.",,
1903,"Automobile pioneer Henry Ford organized the Ford Motor Company. By cutting the costs of production and by adapting the conveyor belt and assembly line to automobile production, Ford was soon able to outdistance all his competitors to become the largest car manufacturer in the world. In 1908 he designed the infamous ""Model T"" and nearly seventeen million cars were produced worldwide before the model was discontinued in 1928. Later a new design called the ""Model A"" was created to meet growing competition.",,
1904,"Frank Chance of the Chicago Cubs set a painful Major League mark after being hit four times in one day during a May 30th double header against the Cincinnati Reds. In the first game, ""The Peerless Leader "" actually lost consciousness after being tagged in the head by Jack Harper.",,
1905,"The ""Industrial Workers of the World"" (IWW) was founded in Chicago with the hopes of giving more control to unions. The aim of the IWW was to unite in one body all skilled and unskilled workers for the purpose of overthrowing capitalism by using direct action, propaganda, the boycott, and the strike. The IWW was also opposed the use of sabotage, arbitration, collective bargaining, and political affiliation. Unfortunately, recurring controversy during both World Wars along with accusations of treason caused dissention in the ranks from the top-down. From a probable strength of at least 30,000 in 1912, the membership later fell to less than 10,000 in 1930 and in the mid-1990s remained at less than 1,000.",,
1906,"More than five-hundred people were killed during the great San Francisco earthquake, which struck the ""City by the Bay"" on the morning of April 18 at 5:15 AM. Modern analysis estimated the tremors to register at an 8.25 on the Richter scale (By comparison, the quake that hit San Francisco on October 17, 1989 registered 6.7). The greatest destruction came from the fires that were ignited and the ensuing inferno ravaged the city for three days before burning out. In the end, the maelstrom destroyed four-hundred ninety city blocks, a total of 25,000 buildings and rendered over 250,000 residents homeless. Damage estimates topped $350,000,000.",,
1907,"In November, Oklahoma became the forty-sixth state admitted to the union. Originally set aside as Indian Territory in 1834, the region was later divided into both the Indian Territory and Oklahoma Territory in 1890. Known primarily as an oil rich state, Oklahoma's vast plains produce bumper yields of wheat, as well as large crops of hay, cotton, and peanuts. Livestock products also contribute more than half of Oklahoma's annual farm receipts.",,
1908,"In March, Honus Wagner announced his retirement from the Pittsburgh Pirates at the age of thirty-four. Despite the intention, he went on to play in one-hundred fifty-one games (more than in any of the past ten years) and led the league in hitting (for the sixth time), hits, total bases, doubles, triples, RBIs, and stolen bases.",,
1919,"In December, Colonel Jacob Ruppert purchased Babe Ruth from Boston Red Sox owner Harry Frazee. The New York Yankees owner paid a reported sum of $125,000 and guaranteed a $300,000 loan with Fenway Park as collateral for the promising pitcher / infielder (13-wins / 11-home runs).",,
1920,"After several decades, the Nineteenth Amendment was finally added to the Constitution granting nation-wide suffrage to women. Initiated in 1890 by the merger of the rival women's rights organizations into the National American Woman Suffrage Association (NAWSA), the feminist movement's priority was to push for the ratification of enough state suffrage amendments to force Congress to approve a federal amendment declaring women's rights. Despite some radical factions that continued to address corollary issues, NAWSA's new approach focused the group's energies exclusively on recruiting new members and winning the vote for women.",Lou Gehrig (a junior at New York City's School of Commerce) was introduced to the nation after hitting a grand slam out of Wrigley Field during a high school championship game against Lane Tech on June 26th.,
1921,"In 1912, Bert Daniels hit for the cycle with the New York Highlanders. Why mention that here? Because Bob Meusel, on May 7, 1921, hit for the cycle as well, the first to do so after the franchise officially changed their name to the New York Yankees.",,
1922,"On March 20th, at Norfolk, Virginia, the U.S.S. Langely was commissioned as the first United States Naval Aircraft Carrier. Originally a coaler christened the Jupiter, the mammoth vessel was refurbished for the purpose of conducting experiments in the new idea of seaborne aviation. At the outbreak of World War II, Langley was anchored off Cavite, Philippine Islands and was ordered to proceed to Balikpapan, Borneo, and Darwin, in Australia, where she assisted the RAAF in running antisubmarine patrols out of Darwin. She was then assigned to American-British-Dutch-Australian forces assembling in Indonesia to challenge the Japanese thrust in that direction. Early in the morning of February 27th, 1942, Langley rendezvoused with her usual antisubmarine screen of Navy destroyers as nine twin-engine enemy bombers attacked her. The first and second Japanese strikes were unsuccessful; but during the third Langley took five hits igniting several planes on the flight deck. After an unsuccessful attempt to extinguish the flames, the order to abandon ship was passed. The escorting destroyers fired nine four-inch shells and two torpedoes into the old tender to insure her sinking and she went down about seventy-five miles south of Tjilatjap with a loss of sixteen.",,
1923,"The second Ku Klux Klan movement in U.S. history was initiated stirring widespread controversy and racial violence. Professing itself nonpolitical, the Klan nevertheless controlled politics in many communities and in 1922, 1924, and 1926 elected many state officials and a number of Congressmen. Texas, Oklahoma, Indiana, Oregon, and Maine were particularly under its influence. Its collapse thereafter was largely due to state laws that forbade the wearing masks in public, which eliminated the secret element, and apparently from the declining interest of its members.",,
1924,"Interior Secretary Albert B. Fall and oilmen Harry Sinclair and Edward L. Doheny were all charged with conspiracy and bribery in the ""Teapot Dome scandal"" which involved fraudulent leases of naval oil reserves. Fall was later indicted for conspiracy and for accepting bribes and after being convicted of the latter; he was sentenced to a year in prison and fined $100,000. In another trial for bribery Doheny and Sinclair were acquitted, although Sinclair was subsequently sentenced to prison for contempt of the Senate and for employing detectives to shadow members of the jury in his case. Eventually, the oil fields were restored to the U.S. government through a Supreme Court decision in 1927.",,
1925,"One of the most sensational court cases in twentieth-century America, the ""Scopes Monkey Trial"" went infinitely beyond the boundaries of law and the courtroom to question the social, intellectual, and cultural values of America. In 1925, the American Civil Liberties Union (ACLU) announced that it was willing to financially support anyone challenging a recently enacted Tennessee law that prohibited the teaching of Darwinism in the state's schools. John T. Scopes, a twenty-five year-old high-school science teacher in Dayton, Tennessee, who taught evolution in his school biology class, accepted the ACLU offer and agreed to stand as the defendant in a test case to challenge the law. At the conclusion of the hearings, Scopes' attorney asked the jury to return a verdict of guilty in order that the case might be appealed to the Tennessee Supreme Court where, he hoped, the anti-Darwin law would be overturned. The jury, complying with his request, returned a verdict of guilty and fined Scopes $100.",,
1926,"Copyright 1999-2025. All Rights Reserved by Baseball Almanac, Inc. Hosted by Hosting 4 Less. Part of the Baseball Almanac Family",,
1927,"On August 23rd, the Commonwealth of Massachusetts executed two Italian immigrants for a double murder. It was widely believed that the men's reputation as anarchists prevented them from receiving a fair trial and the case remains one of the most controversial in American history. On April 15, 1920, a paymaster for a shoe company in South Braintree, Massachusetts, and his guard were shot and killed by two men who escaped with over $15,000. It was thought from reports of witnesses that the murderers were Italians. The suspects, Nicola Sacco and Bartolomeo Vanzetti were later arrested. Neither, however, had a criminal record, nor was there any evidence of their having had any of the money. In July of 1921, they were found guilty after a trial in Dedham, Massachusetts, and sentenced to death. Years later it was determined that Sacco was probably guilty of the crime, but that Vanzetti was innocent.",,
1928,"The Kellogg-Briand Pact was developed as an international effort to outlaw war. The declaration originally started as a bilateral French-American accord, but fourteen nations registered immediately, and sixty-two nations eventually signed. Although unsuccessful, the treaty marked the high point of idealism in the pursuit of peace. The proclamation stated ""Whereas a Treaty between the President of the United States Of America, the President of the German Reich, His Majesty the King of the Belgians, the President of the French Republic, His Majesty the King of Great Britain, Ireland and the British Dominions beyond the Seas, Emperor of India, His Majesty the King of Italy, His Majesty the Emperor of Japan, the President of the Republic of Poland, and the President of the Czechoslovak Republic, providing for the renunciation of war as an instrument of national policy.""",,
1929,"Stock market prices plummeted from November to December and U.S. securities lost $26 billion, marking the first financial disaster of the Great Depression. The American depression produced severe effects abroad, especially in Europe, where many countries had not fully recovered from the aftermath of World War I. In Germany, the economic disaster and resulting social dislocation contributed to the rise of Adolf Hitler and the Nazi Party. Although it shared the basic characteristics of other such crises, the Great Depression was unprecedented in its length and in the wholesale poverty and tragedy it inflicted on society.",,
1930,"On May 11th, Cleveland Indians outfielder Bibb Falk accomplished true offensive symmetry after collecting five hits, five runs batted in and five runs (in the first five innings) during a 25-7 massacre over the Philadelphia Athletics.","On June 13, 1930, two previous batting champions were traded for one another for the first time ever. Those two batting champions were Goose Goslin and Heinie Manush and we invite you to examine their batting titles.",
1931,"Organized Crime icon Al Capone was finally convicted by a grand jury and sentenced to eleven years in prison for tax evasion. The American gangster had repeatedly escaped prosecution even after being implicated in multiple murders and had received numerous accolades from businessmen and politicians. His crime syndicate, which terrorized Chicago in the 1920s while controlling gambling and prostitution, was estimated by the federal Bureau of Internal Revenue to have taken in $105 million in 1927 alone.",,
1932,"Charles A. Lindbergh, the American aviator who made the first solo, nonstop transatlantic flight from New York to Paris, faced every parent's nightmare after his child was kidnapped and murdered. In March, Lindberg's son was abducted from his own bedroom with a ransom demand of $50,000 for his release. After paying the sum, Lindberg's son was not returned infuriating the country and sparking one of the largest manhunts in modern history. In September, the missing child's battered body was found near Hopewell and further investigation revealed a suspect named Bruno Richard Hauptmann, who was found in possession of the ransom. In a sensational trial at Flemington, New Jersey, Hauptmann was convicted of murder and electrocuted on April 3rd, 1936.",,
1933,"The legal prevention of alcoholic beverages known as ""Prohibition"" was finally repealed due to the ratification of the Twenty-first Amendment. After World War I, national prohibition had become the law as stated in the Eighteenth Amendment to the Constitution, which strictly forbid the manufacturing, sale, import, or export of any and all intoxicating liquors. In spite of the Volstead Act (1919), law enforcement proved to be very difficult and smuggling (or bootlegging) on a large scale could not be prevented. As a result, the illicit manufacture of liquor sprang up with such rapidity that authorities were unable to suppress it.",,"The All-Star Game made its debut on July 6th 1933, at Chicago's Comiskey Park. It was initiated at the insistence of Arch Ward, a sports editor for the Chicago Tribune, to coincide with the celebration of Chicago's Century of Progress Exposition. The National League's manager John McGraw and American Leagues's Connie Mack were chosen to lead a line-up of big hitters including Lou Gehrig, Jimmie Foxx, Al Simmons and Babe Ruth. With fellow All-Star, Charlie Gehringer on first in the bottom of the third, Ruth drove one into the right-field stands for the first homer in All-Star history. The rest of the American Leaguers followed suite and went on to beat the Nationals in the inaugural Midsummer Classic 4-2."
1934,The amazingly inconsistent St. Louis Browns shocked everyone on June 3rd after tying an American League record for most consecutive hits (nine in the sixth-inning — all with two outs) to beat the first place Cleveland Indians 12-8.,,"As a novelty concept (that would eventually catch on), fans were tasked with voting in the participants for the second annual All-Star Game, which was to be played on July 10th at the Polo Grounds in New York. Bill Terry of the New York Giants was the top vote-getter in the Midsummer Classic balloting."
