year,category,rank,player,team,value
1901,,Statistic,Name(s),Team(s),#
1901,,Base on Balls,Dummy Hoy,Chicago,86
1901,,Batting Average,Nap Lajoie,Philadelphia,.426
1901,,Doubles,Nap Lajoie,Philadelphia,48
1901,,Hits,Nap Lajoie,Philadelphia,232
1901,,Home Runs,Nap Lajoie,Philadelphia,14
1901,,On Base Percentage,Nap Lajoie,Philadelphia,.463
1901,,RBI,Nap Lajoie,Philadelphia,125
1901,,Runs,Nap Lajoie,Philadelphia,145
1901,,Slugging Average,Nap Lajoie,Philadelphia,.643
1901,,Stolen Bases,Frank Isbell,Chicago,52
1901,,Total Bases,Nap Lajoie,Philadelphia,350
1901,,Triples,Bill Keister,Baltimore,21
1901,,Statistic,Name(s),Team(s),#
1901,,Statistic,Name(s),Team(s),#
1901,,Complete Games,Joe McGinnity,Baltimore,39
1901,,ERA,Cy Young,Boston,1.62
1901,,Games,Joe McGinnity,Baltimore,48
1901,,Saves,Bill Hoffer,Cleveland,3
1901,,Shutouts,Clark Griffith,Chicago,5
1901,,Strikeouts,Cy Young,Boston,158
1901,,Winning Percentage,Clark Griffith,Chicago,.774
1901,,Wins,Cy Young,Boston,33
1901,,Statistic,Name(s),Team(s),#
1902,,Statistic,Name(s),Team(s),#
1902,,Base on Balls,Topsy Hartsel,Philadelphia,87
1902,,Batting Average,Ed Delahanty,Washington,.376
1902,,Doubles,Harry Davis,Philadelphia,43
1902,,Hits,Charlie Hickman,Boston,193
1902,,Home Runs,Socks Seybold,Philadelphia,16
1902,,On Base Percentage,Ed Delahanty,Washington,.453
1902,,RBI,Buck Freeman,Boston,121
1902,,Runs,Dave Fultz,Philadelphia,109
1902,,Slugging Average,Ed Delahanty,Washington,.590
1902,,Stolen Bases,Topsy Hartsel,Philadelphia,47
1902,,Total Bases,Charlie Hickman,Boston,288
1902,,Triples,Jimmy Williams,Baltimore,21
1902,,Statistic,Name(s),Team(s),#
1902,,Statistic,Name(s),Team(s),#
1902,,Complete Games,Cy Young,Boston,41
1902,,ERA,Ed Siever,Detroit,1.91
1902,,Games,Cy Young,Boston,45
1902,,Saves,Jack Powell,St. Louis,2
1902,,Shutouts,Addie Joss,Cleveland,5
1902,,Strikeouts,Rube Waddell,Philadelphia,210
1902,,Winning Percentage,Bill Bernhard,Philadelphia,.783
1902,,Wins,Cy Young,Boston,32
1902,,Statistic,Name(s),Team(s),#
1903,,Statistic,Name(s),Team(s),#
1903,,Base on Balls,Jimmy Barrett,Detroit,74
1903,,Batting Average,Nap Lajoie,Cleveland,.344
1903,,Doubles,Socks Seybold,Philadelphia,45
1903,,Hits,Patsy Dougherty,Boston,195
1903,,Home Runs,Buck Freeman,Boston,13
1903,,On Base Percentage,Jimmy Barrett,Detroit,.407
1903,,RBI,Buck Freeman,Boston,104
1903,,Runs,Patsy Dougherty,Boston,107
1903,,Slugging Average,Nap Lajoie,Cleveland,.518
1903,,Stolen Bases,Harry Bay,Cleveland,45
1903,,Total Bases,Buck Freeman,Boston,281
1903,,Triples,Sam Crawford,Detroit,25
1903,,Statistic,Name(s),Team(s),#
1903,,Statistic,Name(s),Team(s),#
1903,,Complete Games,Bill Donovan,Detroit,34
1903,,ERA,Earl Moore,Cleveland,1.74
1903,,Games,Eddie Plank,Philadelphia,43
1903,,Saves,Bill Dinneen,Boston,2
1903,,Shutouts,Cy Young,Boston,7
1903,,Strikeouts,Rube Waddell,Philadelphia,302
1903,,Winning Percentage,Cy Young,Boston,.757
1903,,Wins,Cy Young,Boston,28
1903,,Statistic,Name(s),Team(s),#
1904,,Statistic,Name(s),Team(s),#
1904,,Base on Balls,Jimmy Barrett,Detroit,79
1904,,Batting Average,Nap Lajoie,Cleveland,.376
1904,,Doubles,Nap Lajoie,Cleveland,49
1904,,Hits,Nap Lajoie,Cleveland,211
1904,,Home Runs,Harry Davis,Philadelphia,10
1904,,On Base Percentage,Nap Lajoie,Cleveland,.413
1904,,RBI,Nap Lajoie,Cleveland,102
1904,,Runs,Patsy Dougherty,Boston,113
1904,,Slugging Average,Nap Lajoie,Cleveland,.552
1904,,Stolen Bases,Harry Bay,Cleveland,38
1904,,Total Bases,Nap Lajoie,Cleveland,305
1904,,Triples,Joe Cassidy,Washington,19
1904,,Statistic,Name(s),Team(s),#
1904,,Statistic,Name(s),Team(s),#
1904,,Complete Games,Jack Chesbro,New York,48
1904,,ERA,Addie Joss,Cleveland,1.59
1904,,Games,Jack Chesbro,New York,55
1904,,Saves,Case Patten,Washington,3
1904,,Shutouts,Cy Young,Boston,10
1904,,Strikeouts,Rube Waddell,Philadelphia,349
1904,,Winning Percentage,Jack Chesbro,New York,.774
1904,,Wins,Jack Chesbro,New York,41
1904,,Statistic,Name(s),Team(s),#
1905,,Statistic,Name(s),Team(s),#
1905,,Base on Balls,Topsy Hartsel,Philadelphia,121
1905,,Batting Average,Elmer Flick,Cleveland,.308
1905,,Doubles,Harry Davis,Philadelphia,47
1905,,Hits,George Stone,St. Louis,187
1905,,Home Runs,Harry Davis,Philadelphia,8
1905,,On Base Percentage,Topsy Hartsel,Philadelphia,.409
1905,,RBI,Harry Davis,Philadelphia,83
1905,,Runs,Harry Davis,Philadelphia,93
1905,,Slugging Average,Elmer Flick,Cleveland,.462
1905,,Stolen Bases,Danny Hoffman,Philadelphia,46
1905,,Total Bases,George Stone,St. Louis,259
1905,,Triples,Elmer Flick,Cleveland,18
1905,,Statistic,Name(s),Team(s),#
1905,,Statistic,Name(s),Team(s),#
1905,,Complete Games,Harry Howell,St. Louis,35
1905,,ERA,Rube Waddell,Philadelphia,1.48
1905,,Games,Rube Waddell,Philadelphia,46
1905,,Saves,Jim Buchanan,St. Louis,2
1905,,Shutouts,Ed Killian,Detroit,8
1905,,Strikeouts,Rube Waddell,Philadelphia,287
1905,,Winning Percentage,Rube Waddell,Philadelphia,.730
1905,,Wins,Rube Waddell,Philadelphia,27
1905,,Statistic,Name(s),Team(s),#
1906,,Statistic,Name(s),Team(s),#
1906,,Base on Balls,Topsy Hartsel,Philadelphia,88
1906,,Batting Average,George Stone,St. Louis,.358
1906,,Doubles,Nap Lajoie,Cleveland,48
1906,,Hits,Nap Lajoie,Cleveland,214
1906,,Home Runs,Harry Davis,Philadelphia,12
1906,,On Base Percentage,George Stone,St. Louis,.417
1906,,RBI,Harry Davis,Philadelphia,96
1906,,Runs,Elmer Flick,Cleveland,98
1906,,Slugging Average,George Stone,St. Louis,.501
1906,,Stolen Bases,John Anderson,Washington,39
1906,,Total Bases,George Stone,St. Louis,291
1906,,Triples,Elmer Flick,Cleveland,22
1906,,Statistic,Name(s),Team(s),#
1906,,Statistic,Name(s),Team(s),#
1906,,Complete Games,Al Orth,New York,36
1906,,ERA,Doc White,Chicago,1.52
1906,,Games,Jack Chesbro,New York,49
1906,,Saves,Chief Bender,Philadelphia,3
1906,,Shutouts,Ed Walsh,Chicago,10
1906,,Strikeouts,Rube Waddell,Philadelphia,196
1906,,Winning Percentage,Eddie Plank,Philadelphia,.760
1906,,Wins,Al Orth,New York,27
1906,,Statistic,Name(s),Team(s),#
1907,,Statistic,Name(s),Team(s),#
1907,,Base on Balls,Topsy Hartsel,Philadelphia,106
1907,,Batting Average,Ty Cobb,Detroit,.350
1907,,Doubles,Harry Davis,Philadelphia,35
1907,,Hits,Ty Cobb,Detroit,212
1907,,Home Runs,Harry Davis,Philadelphia,8
1907,,On Base Percentage,Topsy Hartsel,Philadelphia,.405
1907,,RBI,Ty Cobb,Detroit,119
1907,,Runs,Sam Crawford,Detroit,102
1907,,Slugging Average,Ty Cobb,Detroit,.468
1907,,Stolen Bases,Ty Cobb,Detroit,49
1907,,Total Bases,Ty Cobb,Detroit,283
1907,,Triples,Elmer Flick,Cleveland,18
1907,,Statistic,Name(s),Team(s),#
1907,,Statistic,Name(s),Team(s),#
1907,,Complete Games,Ed Walsh,Chicago,37
1907,,ERA,Ed Walsh,Chicago,1.60
1907,,Games,Ed Walsh,Chicago,56
1907,,Saves,Bill Dinneen,Philadelphia,4
1907,,Shutouts,Eddie Plank,Philadelphia,8
1907,,Strikeouts,Rube Waddell,Philadelphia,232
1907,,Winning Percentage,Bill Donovan,Detroit,.862
1907,,Wins,Addie Joss,Cleveland,27
1907,,Statistic,Name(s),Team(s),#
1908,,Statistic,Name(s),Team(s),#
1908,,Base on Balls,Topsy Hartsel,Philadelphia,93
1908,,Batting Average,Ty Cobb,Detroit,.324
1908,,Doubles,Ty Cobb,Detroit,36
1908,,Hits,Ty Cobb,Detroit,188
1908,,Home Runs,Sam Crawford,Detroit,7
1908,,On Base Percentage,Doc Gessler,Boston,.394
1908,,RBI,Ty Cobb,Detroit,108
1908,,Runs,Matty McIntyre,Detroit,105
1908,,Slugging Average,Ty Cobb,Detroit,.476
1908,,Stolen Bases,Patsy Dougherty,Chicago,47
1908,,Total Bases,Ty Cobb,Detroit,276
1908,,Triples,Ty Cobb,Detroit,20
1908,,Statistic,Name(s),Team(s),#
1908,,Statistic,Name(s),Team(s),#
1908,,Complete Games,Ed Walsh,Chicago,42
